Genes	Length
thrL	66
thrA	2463
thrB	933
thrC	1287
yaaX	297
yaaA	777
yaaJ	1431
talB	954
mog	588
satP	567
yaaW	714
yaaI	405
dnaK	1917
dnaJ	1131
insL1	1113
mokC	210
hokC	153
nhaA	1167
nhaR	906
insB1	504
insA	276
rpsT	264
yaaY	219
ribF	942
ileS	2817
lspA	495
fkpB	450
ispH	951
rihC	915
dapB	822
carA	1149
carB	3222
caiF	396
caiE	591
caiD	786
caiC	1554
caiB	1218
caiA	1143
caiT	1515
fixA	771
fixB	942
fixC	1287
fixX	288
yaaU	1332
kefF	531
kefC	1863
folA	480
apaH	843
apaG	378
rsmA	822
pdxA	990
surA	1287
lptD	2355
djlA	816
yabP	806
rluA	660
rapA	2907
polB	2352
araD	696
araA	1503
araB	1701
araC	879
yabI	765
thiQ	699
thiP	1611
thiB	984
sgrR	1656
sgrT	132
setA	1179
leuD	606
leuC	1401
leuB	1092
leuA	1572
leuL	87
leuO	945
ilvI	1725
ilvH	492
cra	1005
mraZ	459
rsmH	942
ftsL	366
ftsI	1767
murE	1488
murF	1359
mraY	1083
murD	1317
ftsW	1245
murG	1068
murC	1476
ddlB	921
ftsQ	831
ftsA	1263
ftsZ	1152
lpxC	918
secM	513
secA	2706
mutT	390
yacG	198
zapD	744
coaE	621
guaC	1044
hofC	1203
hofB	1386
ppdD	441
nadC	894
ampD	552
ampE	855
aroP	1374
pdhR	765
aceE	2664
aceF	1893
lpd	1425
yacH	1854
acnB	2598
yacL	363
speD	795
speE	867
yacC	348
cueO	1551
gcd	2391
hpt	537
can	663
yadG	927
yadH	771
yadI	441
yadE	1230
panD	381
yadD	903
panC	852
panB	795
yadC	1239
yadK	597
yadL	606
yadM	570
htrE	2598
yadV	741
yadN	585
folK	480
pcnB	1398
gluQ	927
dksA	456
sfsA	705
ligT	531
hrpB	2430
mrcB	2535
fhuA	2244
fhuC	798
fhuD	891
fhuB	1983
hemL	1281
clcA	1422
erpA	345
yadS	624
btuF	801
mtn	699
dgt	1518
degP	1425
cdaR	1158
yaeH	387
yaeI	813
dapD	825
glnD	2673
map	795
rpsB	726
tsf	852
pyrH	726
frr	558
dxr	1197
ispU	762
cdsA	858
rseP	1353
bamA	2433
skp	486
lpxD	1026
fabZ	456
lpxA	789
lpxB	1149
rnhB	597
dnaE	3483
accA	960
ldcC	2142
yaeR	390
tilS	1299
rof	255
yaeP	201
yaeQ	546
arfB	423
nlpE	711
yaeF	825
proS	1719
tsaA	708
rcsF	405
metQ	816
metI	654
metN	1032
gmhB	576
dkgB	804
yafC	915
yafD	801
yafE	624
mltD	1359
gloB	756
yafS	723
rnhA	468
dnaQ	732
yafT	786
ykfM	480
yafU	357
yafF	273
yafV	771
ivy	474
fadE	2445
gmhA	579
yafJ	768
yafK	741
yafQ	279
dinJ	261
yafL	750
rayT	498
lfhA	1713
lafU	756
dinB	1056
yafN	294
yafO	399
yafP	453
ykfJ	207
prfH	501
pepD	1458
gpt	459
frsA	1245
crl	1178
phoE	1056
proB	1104
proA	1254
ykfN	63
ykfI	342
yafW	318
ykfH	222
ykfG	477
yafX	459
ykfF	240
ykfB	468
yafY	444
ykfL	222
ykfK	192
yafZ	822
ykfA	864
perR	894
insN	1912
insI1	1152
ykfC	1108
insH1	1017
mmuP	1404
